video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ceNsk0rkJj8&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,Kelly Brough in close 2nd in Denver mayoral race,298,9 months,Kelly Brough took the stage at a watch party after the second round of election results came in. Talya Cunningham is inside the ...,2024-02-03 22:33:31.897134
/watch?v=v1szltW4QQ8&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,Final day for Denver mayoral race,142,7 months,Tuesday is the last day you can drop your ballot off for Denver's mayoral runoff. » Subscribe to FOX31 on YouTube: ...,2024-02-03 22:33:31.899854
/watch?v=Ip3sYwUCJwU&pp=ygULcmFjZSBEZW52ZXI%3D,/@9news,9NEWS,First debate in race for Denver mayor: Balancing business interests with interests of citizens,135,11 months,"This is the first of three 9NEWS debates in the race for Denver Mayor, featuring the 13 candidates participating in Denver's Fair ...",2024-02-03 22:33:31.902802
/watch?v=REM6NgrCPE4&pp=ygULcmFjZSBEZW52ZXI%3D,/@cbscolorado,CBS Colorado,Big endorsement could shake up Denver's mayoral race,1K,11 months,"With 17 candidates on the ballot for Denver mayor in two months, this former governor could have easily just watched the race for ...",2024-02-03 22:33:31.905542
/watch?v=Kv9G3fbqKi0&pp=ygULcmFjZSBEZW52ZXI%3D,/@cbscolorado,CBS Colorado,Great Candy Run 5K race held in Denver,122,2 months,Thousands of Coloradans laced up their favorite sneakers to compete in the Great Candy Run 5K race in Denver on Sunday.,2024-02-03 22:33:31.908307
/watch?v=7KXjGompVEE&pp=ygULcmFjZSBEZW52ZXI%3D,/@Nexton9NEWS,Next 9NEWS,"The Race for Denver Mayor: Runoff debate between Johnston, Brough",291,Streamed 8 months,"Mike Johnston, a former state senator, is facing off against Kelly Brough, a former president and CEO of the Denver Metro ...",2024-02-03 22:33:31.911083
/watch?v=xkT2oepHopY&pp=ygULcmFjZSBEZW52ZXI%3D,/@Denver7,Denver7,Denver marathoner forced to drop out of NY race,33,8 years,"7NEWS reporter Marshall Zelinger tells us the runner is now focused on another battle. ◂ The Denver Channel, 7News, brings ...",2024-02-03 22:33:31.913657
/watch?v=A3-pEa9dY1o&pp=ygULcmFjZSBEZW52ZXI%3D,/@Nexton9NEWS,Next 9NEWS,Poll: Denver mayoral race is at a virtual dead heat between 11 candidates,173,11 months,Most voters have not decided their pick in the 17-person Denver mayoral race. The highest support for anyone is at just 5%.,2024-02-03 22:33:31.916623
/watch?v=9gF5zqYEmuo&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,Denver race for mayor too close to call,226,9 months,Three main candidates are leading the race as of Wednesday. Gabrielle Franklin reports live from the Clerk and Recorder's Office.,2024-02-03 22:33:39.109672
/watch?v=aYp-j86mWCQ&pp=ygULcmFjZSBEZW52ZXI%3D,/@Nexton9NEWS,Next 9NEWS,A look into the biggest campaign funds in the Denver mayor's race,704,1 year,"The top fundraiser in the race for Denver Mayor has one big donor... himself. Some other candidates aren't too far behind, and fair ...",2024-02-03 22:33:39.112373
/watch?v=npzZPGfChSw&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,Denver mayoral race tightens for runoff contenders,341,9 months,"Denver votes were still being counted a day after Election Day, with the heavily contested mayoral race still in play. Matt Mauro ...",2024-02-03 22:33:39.115515
/watch?v=sHhcT1EWHvg&pp=ygULcmFjZSBEZW52ZXI%3D,/@cbscolorado,CBS Colorado,Denver Pride 5K Returns For Limited In-Person Race This Year,106,2 years,The Denver Pride 5K is back for an in-person race this year. Registrations are open for a limited number of participants on June ...,2024-02-03 22:33:39.116843
/watch?v=pT-sblcwrb0&pp=ygULcmFjZSBEZW52ZXI%3D,/@cbscolorado,CBS Colorado,Denver mayoral candidate Kwame Spearman drops out of the race and endorses opponent Kelly Brough,248,10 months,CBS News Colorado Political Specialist Shaun Boyd confirms Kwame Spearman has suspended his campaign for Denver mayor.,2024-02-03 22:33:39.118115
/watch?v=SbhqlIz-kyc&pp=ygULcmFjZSBEZW52ZXI%3D,/@9news,9NEWS,Community leader Lisa Calderón joins race for Denver mayor,268,1 year,"Dr. Lisa Calderón, a longtime community leader and vocal critic of outgoing Mayor Michael Hancock, is joining the race to replace ...",2024-02-03 22:33:39.119461
/watch?v=o5iz_Sx3jfE&pp=ygULcmFjZSBEZW52ZXI%3D,/@Nexton9NEWS,Next 9NEWS,Keeping up with the Denver mayor's race as ballots drop,237,9 months,"Denver is heading to a runoff and the race to make it in is getting tighter. Mike Johnston leads, with Kelly Brough and Lisa ...",2024-02-03 22:33:39.120823
/watch?v=eCEykaF4MeU&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,Kelly Brough maintains 2nd in Denver mayoral race,74,9 months,Kelly Brough is in a close second place to Mike Johnston in the race for mayor. Talya Cunningham has been spending the ...,2024-02-03 22:33:39.122083
/watch?v=vnI9n9r0BZE&pp=ygULcmFjZSBEZW52ZXI%3D,/@fox31,FOX31 Denver,State Rep. Leslie Herod enters Denver mayoral race,84,1 year,Colorado State Rep. Leslie Herod formally filed paperwork to run for Denver mayor with the Denver County Clerk and Recorder ...,2024-02-03 22:33:39.123697
/watch?v=KKA0_e93bEs&pp=ygULcmFjZSBEZW52ZXI%3D,/@Denver7,Denver7,Denver mayor hosts discussion on race relations,86,9 years,"Denver Mayor Michael Hancock hosted a forum on race issues Friday, following protests both locally and around the nation.",2024-02-03 22:33:39.128672
/watch?v=k_QiswnvQig&pp=ygULcmFjZSBEZW52ZXI%3D,/@9news,9NEWS,Alton Dillard speaks on voter turnout ahead of Tuesday Denver mayoral race,322,9 months,Tuesday is the deadline for voters in Denver to cast their ballot in a very crowded mayor race. Joining us to discuss is Alton Dillard ...,2024-02-03 22:33:39.131593
/watch?v=RwQJwQXVPOE&pp=ygULcmFjZSBEZW52ZXI%3D,/@ParkmeadowscosmeticsurgeryPC,Park Meadows Cosmetic Surgery,Denver Race for the Cure 2014,103,9 years,Park Meadows Cosmetic Surgery attends the Denver Race for the Cure 2014! We were a part of the Survivor Village Resource ...,2024-02-03 22:33:39.134426
/watch?v=RD9eK1UJj1o&pp=ygULcmFjZSBEZW52ZXI%3D,/@gcnracing,GCN Racing,"A New Series Of Racing! | NCL 2023 Highlights - Round 1, Miami Beach",43K,9 months,"The National Cycling League (NCL) is cycling's newest racing series, which aims to grow the sport in the USA through a series of ...",2024-02-03 22:33:39.137244
/shorts/rK_drD8z3pU,/@rachels4911,Rachel S,"2-mi race @ Denver, 2022",505,1 year,"Gabe running the 2-mile race in Denver; finished with a PR of 11:54. 9th gr, 15 yo, April 2022.",2024-02-03 22:33:39.140075
/watch?v=5bH6V61aLZM&pp=ygULcmFjZSBEZW52ZXI%3D,/@gcnracing,GCN Racing,Colorado Classic 2019 Stage 4 LIVE: Denver | GCN Racing,24K,Streamed 4 years,The final stage of the 2019 Colorado Classic returns to Denver for a classic city criterium over a sprint friendly course. With time ...,2024-02-03 22:33:39.143824
/watch?v=0p2aR4-llmE&pp=ygULcmFjZSBEZW52ZXI%3D,/@cbscolorado,CBS Colorado,Anti-Reform Candidates Winning Denver School Board Race,45,4 years,A lot of important local elections on Tuesday including the Denver School Board race.,2024-02-03 22:33:39.146565
